vessel_key,identity_basis,name,imo,mmsi,operator,ais_type,type_label,length_m,width_m,gross_tonnage,dimension_quality,size_band_reliable,existing_cruise_classification,candidate_classification,confidence_score,classification_reasons,exclusion_reasons,total_estimated_co2_tonnes,latest_month_estimated_co2_tonnes,observation_count,active_days,first_observed,latest_observed
MMSI:367074170,MMSI,FREDERICK L NOLAN JR,,367074170,,Passenger ship,Passenger ship,25,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,53.835,53.835,122,2,2026-07-01T15:06:19.894Z,2026-07-02T14:46:15.448Z
MMSI:224675170,MMSI,SAONA MARINA,,224675170,,Passenger ship,Passenger ship,24,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,61.657,61.657,66,2,2026-07-01T14:46:44.198Z,2026-07-02T14:45:34.024Z
MMSI:235031588,MMSI,WIGHT SCENE,,235031588,,Passenger ship,Passenger ship,29,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,10.114,10.114,18,1,2026-07-02T12:06:38.188Z,2026-07-02T12:49:27.387Z
MMSI:211818140,MMSI,ALSTER,,211818140,,Passenger ship,Passenger ship,30,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,14,2,2026-07-01T14:34:44.085Z,2026-07-02T14:49:57.767Z
MMSI:367315540,MMSI,FLAMINGO,,367315540,,Passenger ship,Passenger ship,30,16,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,87,2,2026-07-01T15:26:24.606Z,2026-07-02T14:51:06.112Z
MMSI:369264000,MMSI,ISLAND_EXPLORER 5,,369264000,,Passenger ship,Passenger ship,30,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,3,1,2026-07-01T18:10:25.142Z,2026-07-01T18:17:15.937Z
MMSI:232006214,MMSI,ALI CAT OF COWES,,232006214,,Passenger ship,Passenger ship,20,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,96.933,96.933,102,2,2026-07-01T15:12:15.842Z,2026-07-02T14:50:48.678Z
MMSI:316050404,MMSI,DAVID HORNELL,,316050404,,Passenger ship,Passenger ship,29,14,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,81,2,2026-07-01T15:17:51.213Z,2026-07-02T14:49:11.258Z
MMSI:367302270,MMSI,DESTINY,,367302270,,60,60,28,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.7,MMSI present; AIS/type metadata: 60,dimensions are implausible for a yacht analysis,8.096,8.096,76,1,2026-07-01T14:27:57.092Z,2026-07-01T18:15:08.398Z
MMSI:367177610,MMSI,FORT_INDEPENDENCE,,367177610,,Passenger ship,Passenger ship,27,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,17.364,17.364,46,1,2026-07-02T12:42:53.041Z,2026-07-02T14:49:29.210Z
MMSI:235023221,MMSI,OCEAN SCENE,,235023221,,Passenger ship,Passenger ship,26,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,23.193,23.193,31,1,2026-07-02T11:52:08.294Z,2026-07-02T12:47:58.139Z
MMSI:225987264,MMSI,AVENTURERO,,225987264,,Passenger ship,Passenger ship,23,11,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,51.468,51.468,91,2,2026-07-01T14:53:03.704Z,2026-07-02T14:49:54.751Z
MMSI:368353230,MMSI,MARK G GOODE,,368353230,,Passenger ship,Passenger ship,28,14,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,43,2,2026-07-01T15:45:44.156Z,2026-07-02T14:46:25.234Z
MMSI:503344900,MMSI,ALEXANDER,,503344900,,Passenger ship,Passenger ship,25,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,23.168,23.168,48,2,2026-07-01T15:09:01.500Z,2026-07-02T14:45:24.646Z
MMSI:244386742,MMSI,MSTX 36,,244386742,,Passenger ship,Passenger ship,12,9,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,150.867,150.867,182,2,2026-07-01T14:49:12.571Z,2026-07-02T14:49:06.133Z
MMSI:367404860,MMSI,FANTASEA ONE,,367404860,,Passenger ship,Passenger ship,27,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,116,2,2026-07-01T15:16:52.927Z,2026-07-02T14:51:12.733Z
MMSI:368197680,MMSI,UNITY!,,368197680,,Passenger ship,Passenger ship,27,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,102,2,2026-07-01T14:41:40.807Z,2026-07-02T14:49:20.489Z
MMSI:366902350,MMSI,GOV THOMAS H KEAN,,366902350,,Passenger ship,Passenger ship,26,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,8.918,8.918,4,1,2026-07-02T13:59:50.229Z,2026-07-02T14:26:26.993Z
MMSI:244660747,MMSI,AQUA SHUTTLE,,244660747,,Passenger ship,Passenger ship,26,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,118,2,2026-07-01T14:35:38.645Z,2026-07-02T14:49:48.825Z
MMSI:316042165,MMSI,JESSICA AND TREVOR 7,,316042165,,Passenger ship,Passenger ship,26,30,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,22,1,2026-07-02T12:23:37.317Z,2026-07-02T14:50:26.359Z
MMSI:503344800,MMSI,SUPPLY,,503344800,,Passenger ship,Passenger ship,26,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,non-yacht service/commercial vessel signal detected; dimensions are implausible for a yacht analysis,0,0,57,2,2026-07-01T17:14:56.019Z,2026-07-02T14:47:54.377Z
MMSI:244001620,MMSI,STARBOARD,,244001620,,Passenger ship,Passenger ship,10,4,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,154.928,154.928,119,2,2026-07-01T14:46:22.857Z,2026-07-02T14:47:30.927Z
MMSI:503345300,MMSI,FISHBURN,,503345300,,Passenger ship,Passenger ship,25,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,94,2,2026-07-01T15:13:34.815Z,2026-07-02T14:47:54.597Z
MMSI:503345700,MMSI,SIRIUS,,503345700,,Passenger ship,Passenger ship,25,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,63,2,2026-07-01T15:28:46.925Z,2026-07-02T14:46:11.243Z
MMSI:244138526,MMSI,DE SWEAGEN,,244138526,,Passenger ship,Passenger ship,13,6,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,117.41,117.41,51,2,2026-07-01T14:54:23.251Z,2026-07-02T14:40:25.516Z
IMO:9783564,IMO,MEIN SCHIFF 1,9783564,248513000,,Passenger ship,Passenger ship,316,40,0,IMPLAUSIBLE,unknown_length,VERIFIED_OCEAN_CRUISE / HIGH / ACCEPT,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship,already verified as an accepted ocean/expedition cruise vessel; commercial passenger/cruise scale or classification detected; dimensions are implausible for a yacht analysis,2085.109,2085.109,717,7,2026-07-02T12:24:09.837Z,2026-07-10T09:56:39.253Z
MMSI:244820529,MMSI,WILLY,,244820529,,Passenger ship,Passenger ship,10,4,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,139.109,139.109,113,2,2026-07-01T14:37:05.316Z,2026-07-02T14:49:44.940Z
MMSI:244180556,MMSI,BATAVIA VOC,,244180556,,Passenger ship,Passenger ship,10,4,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,138.262,138.262,59,2,2026-07-01T15:28:43.015Z,2026-07-02T14:50:10.467Z
MMSI:244034442,MMSI,FAYEN,,244034442,,Passenger ship,Passenger ship,10,3,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,130.788,130.788,149,2,2026-07-01T14:43:43.822Z,2026-07-02T14:49:03.157Z
MMSI:244820284,MMSI,IVAN FRANK,,244820284,,Passenger ship,Passenger ship,10,4,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,129.891,129.891,104,2,2026-07-01T15:42:34.883Z,2026-07-02T14:49:46.445Z
MMSI:244993131,MMSI,MAJESTIC,,244993131,,Passenger ship,Passenger ship,10,4,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,128.746,128.746,75,2,2026-07-01T14:56:38.375Z,2026-07-02T14:50:33.319Z
MMSI:367380120,MMSI,HORNBLOWER HYBRID,,367380120,,Passenger ship,Passenger ship,20,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,26.78,26.78,27,1,2026-07-01T16:57:12.546Z,2026-07-01T18:16:32.212Z
