vessel_key,identity_basis,name,imo,mmsi,operator,ais_type,type_label,length_m,width_m,gross_tonnage,dimension_quality,size_band_reliable,existing_cruise_classification,candidate_classification,confidence_score,classification_reasons,exclusion_reasons,total_estimated_co2_tonnes,latest_month_estimated_co2_tonnes,observation_count,active_days,first_observed,latest_observed
IMO:9081954,IMO,OLE BULL,9081954,259188000,,Passenger ship,Passenger ship,55,14,0,RELIABLE,40_79_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,184.697,184.697,146,2,2026-07-01T13:27:38.406Z,2026-07-02T14:50:30.938Z
IMO:9081966,IMO,FYKAN,9081966,259681000,,Passenger ship,Passenger ship,40,14,0,RELIABLE,40_79_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,16.392,16.392,64,2,2026-07-01T13:21:22.337Z,2026-07-02T14:40:10.823Z
IMO:9082635,IMO,M.F.ASKOE,9082635,219000811,,Passenger ship,Passenger ship,31,11,0,RELIABLE,24_39_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,104.98,104.98,124,2,2026-07-01T13:20:50.567Z,2026-07-02T14:47:19.200Z
IMO:9083706,IMO,SEA STAR KOS,9083706,511101443,,Passenger ship,Passenger ship,40,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,76.031,76.031,89,2,2026-07-01T14:55:53.922Z,2026-07-02T14:51:04.586Z
IMO:9086332,IMO,ACHERNAR,9086332,247097400,,Passenger ship,Passenger ship,44,11,0,RELIABLE,40_79_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,131.411,131.411,115,2,2026-07-01T14:56:06.294Z,2026-07-02T14:50:42.351Z
IMO:9086590,IMO,MEGA EXPRESS FOUR,9086590,247178700,,Passenger ship,Passenger ship,174,24,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,16.243,16.243,39,2,2026-07-01T13:27:39.672Z,2026-07-02T14:36:51.712Z
IMO:9086772,IMO,TREMITI JET,9086772,247112500,,Passenger ship,Passenger ship,48,9,0,RELIABLE,40_79_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,79.07,79.07,106,2,2026-07-01T15:37:33.328Z,2026-07-02T14:49:09.828Z
IMO:9087465,IMO,NILS DACKE,9087465,212499000,,Passenger ship,Passenger ship,179,28,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,92.424,92.424,89,1,2026-07-01T14:33:15.680Z,2026-07-01T18:15:51.115Z
IMO:9087477,IMO,ROBIN HOOD,9087477,218795000,,Passenger ship,Passenger ship,179,28,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,50.198,50.198,31,2,2026-07-01T15:49:48.257Z,2026-07-02T14:48:34.709Z
IMO:9088859,IMO,GIROLATA,9088859,226245000,,Passenger ship,Passenger ship,178,27,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,59.49,59.49,73,2,2026-07-01T13:21:39.336Z,2026-07-02T14:30:37.843Z
